CUSTOM - 2023-02-27 15:10:52 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":1209168,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":12,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 15:11:59 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 15:12:29 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 15:15:39 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 15:24:06 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 15:31:26 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 15:55:31 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 15:56:00 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 16:02:37 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 16:02:58 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 16:05:28 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 16:05:51 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 16:06:38 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
CUSTOM - 2023-02-27 16:07:03 --> Warehouse_wholesale::saveAddWholesale - /index.php/warehouse_wholesale/saveAddWholesale: {"partner":"1","total_bill":100764,"actual":0,"debt":null,"buy_price":[{"product_id":"1","quantity":1,"unit":"1","price":"100764"}],"warehouseid":"1"}
